[      81ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:3000/_next/static/chunks/0ntm_next_dist_0kkjfq8._.js:2477
[      88ms] [LOG] [HMR] connected @ http://localhost:3000/_next/static/chunks/0ntm_next_dist_0kkjfq8._.js:2477
[    7180ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=F0parl8Idi8VAubMHXbsU' failed:  @ http://localhost:3000/_next/static/chunks/0ntm_next_dist_client_0tjvt_u._.js:13322
[    8186ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=F0parl8Idi8VAubMHXbsU' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/0ntm_next_dist_client_0tjvt_u._.js:13322
[    9191ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=F0parl8Idi8VAubMHXbsU' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/0ntm_next_dist_client_0tjvt_u._.js:13322
[   10196ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=F0parl8Idi8VAubMHXbsU' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/0ntm_next_dist_client_0tjvt_u._.js:13322
[   11200ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=F0parl8Idi8VAubMHXbsU' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/0ntm_next_dist_client_0tjvt_u._.js:13322
[   12207ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=F0parl8Idi8VAubMHXbsU' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/0ntm_next_dist_client_0tjvt_u._.js:13322
[   17215ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=F0parl8Idi8VAubMHXbsU' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/0ntm_next_dist_client_0tjvt_u._.js:13322
[   22230ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=F0parl8Idi8VAubMHXbsU' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/0ntm_next_dist_client_0tjvt_u._.js:13322
[   27244ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=F0parl8Idi8VAubMHXbsU' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/0ntm_next_dist_client_0tjvt_u._.js:13322
[   32288ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=F0parl8Idi8VAubMHXbsU' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/0ntm_next_dist_client_0tjvt_u._.js:13322
[   37375ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=F0parl8Idi8VAubMHXbsU' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/0ntm_next_dist_client_0tjvt_u._.js:13322
[   42480ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=F0parl8Idi8VAubMHXbsU' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/0ntm_next_dist_client_0tjvt_u._.js:13322
[   47631ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=F0parl8Idi8VAubMHXbsU' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/0ntm_next_dist_client_0tjvt_u._.js:13322
